lat,lon,name,short_name
41.929143,-87.649077,Halsted St & Wrightwood Ave,CHI00504
41.88314336439022,-87.63724208,Wacker Dr & Washington St,CHI01787
41.750794,-87.624424,State St & 79th St,CHI00991
41.691211034981045,-87.68129736,Western Ave & 111th St,CHI00872
41.885837,-87.6355,Franklin St & Lake St,CHI00376
41.95256,-87.79755,Newcastle Ave & Irving Park Rd,CHI01974
41.921822,-87.64414,Larrabee St & Webster Ave,CHI00454
41.75248701249013,-87.64390216,Halsted St & 78th St,CHI00857
41.96572,-87.68844,Western Ave & Leland Ave,CHI00435
41.66631200825726,-87.55721569,Torrence Ave & 126th Pl,CHI00841
41.72489,-87.64358,Halsted St & 93rd St,CHI01929
41.656665529673724,-87.59880066,Altgeld Gardens,CHI00849
42.015963,-87.675005,Clark St & Jarvis Ave,CHI01212
41.922695,-87.697153,California Ave & Milwaukee Ave,CHI00307
41.772584,-87.703007,Kedzie Ave & 66th Pl,CHI01785
42.048214,-87.683485,Benson Ave & Church St,CHI00737
41.77938114,-87.64462081,Halsted St & 63rd St,CHI00249
41.9759837,-87.7159844,St Louis Ave & Foster Ave,CHI01539
41.917805,-87.682437,Leavitt St & Armitage Ave,CHI00467
41.894877,-87.632326,LaSalle Dr & Huron St,CHI00640
41.910535,-87.689556,Campbell Ave & North Ave,CHI00341
41.795264,-87.596471,Woodlawn Ave & 55th St,CHI00423
41.919936,-87.64883,Halsted St & Dickens Ave,CHI00291
41.70704,-87.65022,Aberdeen St & 103rd St,CHI01976
42.052939,-87.673447,University Library (NU),CHI01208
41.93799,-87.81915,Overhill Ave & Belmont Ave,CHI01922
41.751173,-87.585337,Stony Island Ave & South Chicago Ave,CHI01203
41.83452989,-87.63182298,Wentworth Ave & 33rd St,CHI00519
41.849527,-87.640591,Normal Ave & Archer Ave,CHI00392
41.91301,-87.67778,Damen Ave & St Paul Ave,CHI02135
41.911974,-87.631942,Clark St & North Ave,CHI00444
41.744531,-87.56506,Phillips Ave & 83rd St,CHI00723
41.89046879243862,-87.70260751,Sacramento Blvd & Franklin Blvd,CHI00597
41.70457509,-87.52823174,Burnham Greenway & 105th St,CHI00863
41.98366471,-87.69642256,Budlong Woods Library,CHI00350
41.81447,-87.70411,Kedzie Ave & Archer Ave,CHI01885
41.947017,-87.654418,Sheffield Ave & Addison St ,CHI02054
41.84163254,-87.65743495,Loomis St & Archer Ave,CHI00292
41.95078,-87.659172,Clark St & Grace St,CHI00301
41.91676,-87.749458,Lamon Ave & Armitage Ave,CHI01897
41.71896342165455,-87.60829568,Chicago State University,CHI00767
41.9204347,-87.7743901,Mason Ave & Grand Ave,CHI02017
41.91823,-87.64879,Halsted St & Armitage Ave,CHI02111
41.9092147,-87.7609189,Long Ave & North Ave,CHI01886
41.786833,-87.666215,Marshfield Ave & 59th St,CHI01045
41.78638,-87.7157,Lawndale Ave & 59th St,CHI01896
42.0082,-87.70461,Sacramento Ave & Lunt Ave,CHI01779
41.967947,-87.730409,Karlov Ave & Lawrence Ave,CHI01800
41.91461,-87.667968,Walsh Park,CHI00716
41.89677,-87.6386,Sedgwick St & Chicago Ave,CHI02145
41.880329633634624,-87.64274597,Jefferson St & Monroe St,CHI00513
41.8776416,-87.64961779,Peoria St & Jackson Blvd,CHI00402
41.91208,-87.68752,Western Ave & Wabansia Ave,CHI02117
41.809719,-87.663477,Ashland Ave & McDowell Ave,CHI00672
41.922167,-87.638888,Sedgwick St & Webster Ave,CHI00487
41.895745,-87.698653,Francisco Ave & Chicago Ave,CHI02080
41.866095,-87.607267,Adler Planetarium,CHI00360
42.064313,-87.686152,Central St & Girard Ave,CHI02042
41.88460329,-87.70630374,Kedzie Ave & Lake St,CHI00528
41.9258119,-87.7663685,Central Ave & Altgeld St,CHI01760
41.93833,-87.76166,Long Ave & Belmont Ave,CHI00811
41.91021,-87.6435,Larrabee St & North Ave,CHI00297
41.78794281,-87.58831517,Harper Ave & 59th St,CHI00584
41.884241,-87.629634,Daley Center Plaza,CHI00253
41.794087,-87.675478,Seeley Ave & Garfield Blvd,CHI01048
41.95607,-87.76472,Portage Park,CHI01952
41.88318130597391,-87.64872462,Green St & Washington Blvd,CHI00379
41.75787096522547,-87.54917675,Rainbow Beach,CHI00526
41.69226255589166,-87.64261186,Halsted St & 111th St,CHI00956
41.95216219,-87.69805111,California Ave & Byron St,CHI00535
41.82879202,-87.68060446,Leavitt St & Archer Ave,CHI00319
41.932225,-87.658617,Lincoln Ave & Diversey Pkwy,CHI00285
41.780506,-87.586853,Stony Island Ave & 63rd St,CHI02031
41.95224,-87.81697,Oriole Ave & Irving Park Rd,CHI01934
41.93058537,-87.72377736,Kosciuszko Park,CHI00623
42.019537,-87.669563,Bosworth Ave & Howard St,CHI00664
41.91402671,-87.70512646,Albany Ave & Bloomingdale Ave,CHI00645
41.892278,-87.612043,Navy Pier,CHI01747
41.88668,-87.65315,Carpenter St & Fulton St,CHI02139
41.83127424,-87.60879919,Lake Park Ave & 35th St,CHI02032
41.928773,-87.663913,Southport Ave & Wrightwood Ave,CHI00339
41.81385,-87.66639,Marshfield Ave & 44th St,CHI01069
41.88602083,-87.63087606,Clark St & Lake St,CHI00761
41.726166390245105,-87.56627619,Yates Blvd & 93rd St,CHI00856
41.9093581,-87.6777585,Damen Ave & Pierce Ave,CHI02057
41.869375,-87.65544,May St & Taylor St,CHI00322
41.8827476,-87.7153994,Central Park Ave & Washington Blvd,CHI01808
41.896944626370825,-87.62175769,Mies van der Rohe Way & Chicago Ave,CHI00470
41.71781,-87.53504,Ewing Ave & 98th St,CHI01949
41.89581,-87.71763,Monticello Ave & Chicago Ave,CHI02011
41.934457,-87.733795,Kenosha Ave & Wellington Ave,CHI01858
41.882751965685614,-87.64119029,Clinton St & Madison St,CHI00233
41.860384,-87.625813,Wabash Ave & 16th St,CHI00604
41.9023453,-87.7250744,Harding Ave & Division St,CHI01829
41.93758231600629,-87.64409781,Broadway & Barry Ave,CHI00390
41.876268,-87.629155,Dearborn St & Van Buren St,CHI01076
41.884336,-87.658902,Elizabeth St & Randolph St,CHI01903
42.023463,-87.699595,Dodge Ave & Mulford St,CHI00798
41.854063503874464,-87.71511734,Central Park Ave & Ogden Ave,CHI00655
41.897448,-87.628722,State St & Pearson St,CHI00271
41.830661,-87.647172,Halsted St & 35th St,CHI00401
41.93473,-87.78436,Wellington Ave & Mulligan Ave,CHI01899
41.93651,-87.64119,Pine Grove Ave & Wellington Ave,CHI02158
41.838198,-87.645143,Emerald Ave & 31st St,CHI00486
41.70458710218908,-87.68120348,Western Ave & 104th St,CHI00859
